Matrix Size,Poor OpenMP,Thrashing OpenMP,'Possible' Thrashing OpenMP,Correct OpenMP
32768,2.0546,12.7466,0.6064,0.6094
30720,1.8882,11.15,0.547,0.55
28672,1.7092,9.5994,0.4722,0.4594
26624,1.5564,8.5502,0.4748,0.4374
24576,1.444,7.4092,0.3812,0.4376
22528,1.4374,5.4,0.3064,0.3062
20480,1.0876,3.6136,0.2342,0.2376
18432,0.9658,2.6124,0.1872,0.188
16384,0.8276,2.0378,0.1564,0.1434
14336,0.7122,1.1658,0.1128,0.1154
12288,0.5934,0.8142,0.0842,0.0846
10240,0.4838,0.4316,0.0562001,0.0594
8192,0.375,0.275,0.0374,0.0346
6144,0.2752,0.1404,0.022,0.0156
4096,0.1756,0.122,0.00939999,0.00919995
